testId,id,question,domain,explanation,score,createdAt,status
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SQ0001H0Q1FW1HK07R,The accounting report contains several errors that need to be ______ immediately.,Language & Communication,Base verb 'corrected' is required.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SQ0001H0Q1FW1HMYQR,"The manager spoke very ______ during the presentation, making her points easy to understand.",Language & Communication,Adverb 'clearly' is required.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SQ0001H0Q1FW1HPV98,The event was postponed ______ unforeseen circumstances.,Language & Communication,Correct phrase: 'due to'.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SR0001H0Q1FW1HWC1G,The company is seeking ways to reduce waste and improve operational ______.,Language & Communication,Correct noun: 'efficiency'.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SR0001H0Q1FW1HYAHG,Please make ______ changes necessary before the document is finalized.,Language & Communication,Definite article 'the' is required.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SR0001H0Q1FW1J0TM0,Employees ______ submit travel receipts within seven days of returning.,Language & Communication,'Must' expresses obligation.,1,2025-12-08T00:00:00Z,active
01KCXGG0SP0001H0Q1FW1GGERR,01KCXGG0SR0001H0Q1FW1J2Q5G,"The new software is more intuitive; ______, some employees still prefer the old version.",Language & Communication,Contrast → 'however'.,1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0SS0001H0Q1FW1K50TG,"In Python, what is the value of sum([i for i in range(5) if i % 2 == 0])?",Python,"range(5) gives 0,1,2,3,4. The even numbers are 0,2,4, and 0+2+4 = 6.",1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0SS0001H0Q1FW1K746R,"In Python, what is the value of len(set([1, 2, 2, 3, 3, 3]))?",Python,"set([1,2,2,3,3,3]) is {1,2,3}, which has length 3.",1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0SS0001H0Q1FW1K93P0,"Given s = 'abcdef' in Python, what is the value of s[1:5:2]?",Python,"Indices used are 1 and 3, so characters are 'b' and 'd', giving 'bd'.",1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0SS0001H0Q1FW1KAZ88,"In JavaScript, what does the following print? let a = 1; console.log(a++ + ++a);",Python,"a++ returns 1 then a becomes 2; ++a makes a 3, so 1 + 3 = 4.",1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0SS0001H0Q1FW1KCSV8,"In Python, with a = [1, 2] and b = [1, 2], what does print(a == b, a is b) output?",Python,"a and b have the same contents, so a == b is True, but they are different objects in memory so a is b is False.",1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0SS0001H0Q1FW1KEME8,Solve for x: 3x − 5 = 2x + 7.,Algebra,3x − 5 = 2x + 7 ⇒ 3x − 2x = 7 + 5 ⇒ x = 12.,1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0SS0001H0Q1FW1KH5G0,Which is the correct factorization of x² − 5x + 6?,Algebra,"The numbers -2 and -3 multiply to 6 and add to -5, so (x − 2)(x − 3).",1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0SS0001H0Q1FW1KJY4G,What is the domain of f(x) = √(x − 2)?,Algebra,"The expression under the square root must be ≥ 0, so x − 2 ≥ 0 ⇒ x ≥ 2.",1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0SS0001H0Q1FW1KMQR8,Solve for x: 2(x − 3) = 3(x + 1).,Algebra,2x − 6 = 3x + 3 ⇒ -6 − 3 = 3x − 2x ⇒ -9 = x.,1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0SS0001H0Q1FW1KPHC0,"Consider the sequence 2, 5, 8, 11, .... Which description is correct?",Algebra,"Each term increases by 3, so it is an arithmetic sequence with common difference 3.",1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0ST0001H0Q1FW1KR918,Which SQL query correctly returns the number of orders per customer?,Database,"We need to group by customer_id and count rows: SELECT customer_id, COUNT(*) AS order_count FROM orders GROUP BY customer_id;",1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0ST0001H0Q1FW1KT1NR,Which JOIN keeps all rows from the left table and matches rows from the right table when possible?,Database,"LEFT JOIN returns all rows from the left table and matching rows from the right table, with NULLs when there is no match.",1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0ST0001H0Q1FW1KVTA8,Which SQL WHERE clause correctly selects rows with order_date on or after 2025-01-01?,Database,The correct comparison is order_date >= '2025-01-01'.,1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0ST0001H0Q1FW1M04ZR,"In SQL, what is the main difference between COUNT(*) and COUNT(column_name)?",Database,"COUNT(*) counts all rows, while COUNT(column_name) counts only rows where that column is not NULL.",1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0ST0001H0Q1FW1M6TVG,Which SQL expression calculates a running total of amount ordered by order_date?,Database,SUM(amount) OVER (ORDER BY order_date) creates a cumulative sum in order of order_date.,1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0ST0001H0Q1FW1MCAMG,Which chart is most suitable for showing the frequency of values across intervals for a numeric variable?,Data Visualization,A histogram is designed to show the distribution of a numeric variable.,1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0ST0001H0Q1FW1MGY38,"In a box plot, which part represents the median of the data?",Data Visualization,The median is shown by the line inside the box.,1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0ST0001H0Q1FW1MK7B0,A scatter plot shows points roughly forming an upward-sloping line. What does this suggest?,Data Visualization,An upward-sloping pattern suggests a positive correlation between the two variables.,1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0ST0001H0Q1FW1MN0YR,Which chart type is generally NOT recommended when comparing many small categories?,Data Visualization,"Pie charts become hard to read when there are many small slices, so they are not recommended.",1,2025-12-08T00:00:00Z,active
01KCXGG0SS0001H0Q1FW1K4S0G,01KCXGG0SV0001H0Q1FW1MPTJG,"To make a chart more colorblind-friendly, which approach is best?",Data Visualization,Using high-contrast patterns or a colorblind-safe palette instead of relying only on red and green improves accessibility.,1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SW0001H0Q1FW1P8DFR,"A city is deciding where to locate a new community health centre that focuses on low-income residents. The ethical guidelines say the centre should (1) be within walking distance of the largest low-income neighbourhood, (2) not be next to a commercial alcohol district, and (3) prioritize areas with few existing clinics. Three candidate locations are proposed: Site A: in the middle of the largest low-income area, next to a street with many bars, with no clinic nearby. Site B: 15 minutes by bus from the largest low-income area, far from alcohol outlets, with one small clinic nearby. Site C: at the edge of the largest low-income area, not near alcohol outlets, with no clinic nearby. Which choice best follows the guidelines?",Logic & Reasoning,"Site C is still walkable, not near alcohol outlets, and has no clinic nearby, so it satisfies all three guidelines better than the other options.",1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SW0001H0Q1FW1PAJTG,"A city introduces a regulation requiring all construction companies to report dust-control measures before starting any demolition activity. A company claims it is fully compliant because it submits dust reports for ongoing projects every Friday. Which of the following, if true, most weakens the company’s claim?",Logic & Reasoning,Submitting reports after starting demolition violates the requirement that reporting must occur before work begins.,1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SW0001H0Q1FW1PCM88,"A social work team will run three evening programs in one week: youth mentoring (Y), elderly home visits (E), and street outreach (S), each on a different day from Monday to Wednesday. Rules: (1) If Y is on Monday, then S must be on Wednesday. (2) E cannot be on Monday. (3) S must not be on the day immediately after E. Which of the following schedules is possible?",Logic & Reasoning,"Option C is the only schedule that follows all rules:Y is not on Monday (so rule 1 doesn’t apply), E is not on Monday (rule 2 satisfied), and S is before E—not the day immediately after—so rule 3 is also satisfied.",1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SW0001H0Q1FW1PEJR8,"A public health researcher argues: as heat waves become more frequent due to climate change, cities must invest in more shaded public spaces, otherwise hospital admissions for heat-related illnesses will continue to rise among outdoor workers and the elderly. Which assumption is most necessary for this argument?",Logic & Reasoning,"The argument assumes that shaded public spaces actually reduce harmful heat exposure for vulnerable groups; without that, the proposed solution would not help.",1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SW0001H0Q1FW1PGEAG,"A city plans to replace diesel buses on three lines (L1, L2, L3) with electric buses. Due to budget limits, they can electrify only two lines now. Data show: L1 has the highest passenger volume, L2 passes through areas with the worst air quality, and L3 has moderate volume and good existing air quality. The city’s goal is to maximize public health benefits. Which choice best matches this goal?",Logic & Reasoning,Electrifying both the highest volume line and the line in the worst air quality area (L1 and L2) gives the largest reduction in total pollution exposure for people.,1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SW0001H0Q1FW1PJ8XG,"A researcher claims: adopting a Mediterranean-style diet in coastal cities will significantly reduce the environmental impact of food systems there. Which of the following, if true, most supports this claim?",Logic & Reasoning,"Mediterranean diets tend to be more plant-based and use less red meat, which is directly associated with lower environmental impact than meat-heavy diets.",1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SX0001H0Q1FW1PM7DG,A firm can fund only one of three projects this year: Project A has high expected return and very high risk; Project B has moderate expected return and low risk; Project C has low expected return but clear environmental benefits and positive brand impact. The board states: (1) we must avoid very high financial risk this year; (2) we will only choose a project that either has low risk or clearly improves our environmental reputation. Which project choice satisfies the board’s conditions?,Logic & Reasoning,"Project A violates the first rule. Projects B and C both satisfy the conditions: B is low risk, and C improves environmental reputation without very high risk.",1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SX0001H0Q1FW1PQWKG,"A government analyst argues: 'If a city wants to reduce its total waste volume, it must expand recycling programs. Therefore, any city that does not expand recycling cannot reduce waste.' Which of the following, if true, most weakens the argument?",Logic & Reasoning,Showing waste can be reduced without expanding recycling breaks the claimed necessity.,1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SX0001H0Q1FW1PSS50,"A government economist claims: if we raise the tax on sugary drinks, total sugar consumption in the country will definitely fall. Which of the following, if true, most seriously challenges this conclusion?",Logic & Reasoning,"If people respond by buying more high-sugar snacks instead of sugary drinks, then total sugar consumption might stay the same or even increase.",1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SX0001H0Q1FW1PWB60,"A smart building wants to install three kinds of IoT sensors: temperature (T), air quality (A), and motion (M) on three floors: 1st, 2nd, and 3rd. Rules: (1) every floor must have at least one sensor; (2) the same sensor type cannot be installed on only one floor in the whole building; (3) if A is on the 1st floor, M must be on the 2nd floor. One planned layout is: 1st floor has T and A, 2nd floor has M, 3rd floor has T. Which statement about this layout is true?",Logic & Reasoning,"All floors have sensors, T appears on two floors, A appears with the required M on the 2nd floor, and M exists, so the layout satisfies all three rules.",1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SX0001H0Q1FW1PY5S0,A startup claims that using a public blockchain for cross-border payments will automatically ensure full regulatory compliance in every country involved. Which assumption must their claim rely on?,Logic & Reasoning,The claim requires that regulators in all involved countries accept blockchain records as legally valid and sufficient for compliance.,1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SX0001H0Q1FW1Q0JXR,"A tourist board observes that visitors who join food tours tend to stay longer in the city than those who join historical tours. The board concludes that joining food tours causes visitors to extend their stay. Which of the following, if true, most seriously weakens this conclusion?",Logic & Reasoning,"If longer-stay visitors simply choose food tours, then the causation is reversed and the conclusion fails.",1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SX0001H0Q1FW1Q2DGR,"A coach designs a weekly plan for a runner: at least two high-intensity interval training (HIIT) sessions, no HIIT on the day immediately after a long-distance run, and at least one full rest day. One proposed schedule (Mon to Sun) is: Mon HIIT, Tue long run, Wed rest, Thu easy run, Fri HIIT, Sat easy run, Sun rest. Which statement is correct?",Logic & Reasoning,"The plan includes two HIIT days, avoids HIIT directly after the long run, and includes rest days on Wednesday and Sunday, so it follows all three rules.",1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SX0001H0Q1FW1Q474G,"A hospital maps the journey of patients with type 2 diabetes and finds: many patients miss follow-up appointments because they cannot take time off work; medication adherence improves when patients receive SMS reminders; and patients report confusion about which professional to contact for diet advice. Based on this mapping, which intervention is most directly supported?",Logic & Reasoning,Extending clinic hours to evenings and weekends directly addresses the barrier of patients being unable to attend during working hours.,1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SX0001H0Q1FW1Q5YSR,"Advocates argue: to reduce legal conflicts around access to insulin, countries must classify insulin as an essential medicine that cannot be subject to extreme price increases. Which of the following, if true, most strengthens this argument?",Logic & Reasoning,"If countries that classify insulin as essential already have price controls, it shows that such classification can lead to protection against extreme price increases.",1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SX0001H0Q1FW1Q7QE8,"A researcher runs an experiment on a new meditation app. Participants volunteer online and are then allowed to choose whether they are in the meditation group or the control group. After four weeks, the meditation group has much lower stress scores. The researcher concludes that the app itself caused the reduction in stress. Which of the following, if true, most seriously weakens this conclusion?",Logic & Reasoning,"If participants who chose the meditation group were already more motivated to reduce stress, then pre-existing differences, not the app, may explain the results.",1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SX0001H0Q1FW1Q9G2R,"A researcher states: 'People who take a daily 10-minute concentration quiz show improvement after two weeks, so the quiz itself improves concentration.' Which of the following, if true, most weakens this conclusion?",Logic & Reasoning,"If participants also engaged in other activities that improve concentration, the quiz cannot be identified as the true cause.",1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SX0001H0Q1FW1QB7R0,"A tourism board notes: posts tagged with the city’s main hashtag that include short videos receive twice as many shares as photo-only posts, and visitors who share posts are more likely to recommend the city to friends. The board concludes that encouraging tourists to post short videos will significantly increase word-of-mouth promotion of the city. Which of the following, if true, most supports this conclusion?",Logic & Reasoning,"If short videos are more likely to appear on the platform’s recommendation page, they will get more visibility and shares, supporting the idea of more word-of-mouth.",1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SX0001H0Q1FW1QCZD8,"A travel company offers three city tours: Historical (H), Food (F), and Nightlife (N). For a one-day package, a customer can choose two tours, subject to: (1) H and N cannot be taken together; (2) if F is chosen, it must not be combined with any tour that ends after 9 pm; (3) H ends at 7 pm, F ends at 5 pm, N ends after 10 pm. Which pair of tours is allowed?",Logic & Reasoning,The pair H and F finishes at 7 pm and 5 pm and does not violate any rule; all other pairs break at least one constraint.,1,2025-12-08T00:00:00Z,active
01KCXGG0SW0001H0Q1FW1P83Q8,01KCXGG0SX0001H0Q1FW1QEWY0,"A planner argues: if a city wants to be truly sustainable, it must reduce car dependency. Therefore, any urban plan that expands highways cannot be considered sustainable. Which of the following, if true, most weakens this argument?",Logic & Reasoning,"If the highway expansion includes dedicated lanes for electric buses and high-occupancy vehicles, it can actually reduce car dependency, contradicting the planner’s claim.",1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SY0001H0Q1FW1RD2R8,Which principle is MOST associated with ensuring fairness in the distribution of resources within a society?,Logic & Reasoning,Justice focuses on fair and equitable allocation of resources.,1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SY0001H0Q1FW1RF36R,Which group is MOST at risk of respiratory illness due to increased air pollution from climate change?,Logic & Reasoning,Children and elderly individuals have higher biological vulnerability to pollutants.,1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1RH0QG,What does inflation primarily refer to in economics?,Logic & Reasoning,Inflation represents an overall increase in general price levels.,1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1RJW9R,Which nutrient plays the primary role in repairing muscle tissue after exercise?,Logic & Reasoning,Protein is the key nutrient for muscle recovery and tissue repair.,1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1RMMY8,Which source of energy is classified as renewable?,Logic & Reasoning,Wind energy replenishes naturally and is considered renewable.,1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1RPFH8,What does Ohm’s Law describe in basic circuit analysis?,Logic & Reasoning,"Ohm's Law defines the linear relationship between voltage, current, and resistance.",1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1RR950,Which device is commonly used in IoT systems to detect air quality levels?,Logic & Reasoning,Air-quality sensors such as MQ-series detect gases and pollutants in the environment.,1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1RT1SG,"In mathematics, which operation takes highest precedence?",Logic & Reasoning,"Exponents are evaluated before multiplication, division, addition, or subtraction.",1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1RVTE0,What is the primary function of an algorithm in computing?,Logic & Reasoning,An algorithm provides step-by-step instructions to solve a problem.,1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1RXK2G,Which factor MOST improves the energy efficiency of electric vehicles compared to gasoline cars?,Logic & Reasoning,EVs convert a much higher proportion of electrical energy into motion.,1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1RZBQ0,Fuel cells generate electricity primarily through which process?,Logic & Reasoning,Fuel cells produce electricity via electrochemical reactions rather than combustion.,1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1S14BG,Which social media metric BEST indicates audience engagement?,Logic & Reasoning,"Engagement rate measures meaningful interactions like likes, comments, and shares.",1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1S31W8,Which macroeconomic indicator measures the average change in prices paid by consumers?,Logic & Reasoning,The Consumer Price Index tracks price changes for a basket of goods and services.,1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1S4TGR,Which research method helps control for confounding variables in psychology experiments?,Logic & Reasoning,Random assignment ensures participants are distributed evenly among conditions.,1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1S6S0R,Which factor MOST affects blood glucose levels in individuals with diabetes?,Logic & Reasoning,Carbohydrate intake has the most significant direct effect on blood sugar.,1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1S8GP0,Which component of sustainable food systems focuses on reducing emissions from agriculture?,Logic & Reasoning,Lowering livestock-related methane is a key emissions-reduction strategy.,1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1SA9AG,Which concept is central to sustainable urban development?,Logic & Reasoning,"Balancing environmental protection, economic growth, and social equity defines sustainability.",1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1SCVBG,"When analyzing tourism demand, which factor MOST influences seasonal variation?",Logic & Reasoning,Weather patterns significantly influence travel decisions and tourism cycles.,1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0SZ0001H0Q1FW1SEK0R,Which characteristic defines a market economy?,Logic & Reasoning,Market economies rely on supply and demand to determine prices.,1,2025-12-08T00:00:00Z,active
01KCXGG0SY0001H0Q1FW1RCVXG,01KCXGG0T00001H0Q1FW1SGBN8,Which mathematical concept describes the rate at which one variable changes relative to another?,Logic & Reasoning,Slope represents the change in one variable relative to the change in another.,1,2025-12-08T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T10001H0Q1FW1TFZC8,Which function of management involves setting objectives?,Business Administration,Planning defines objectives.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T10001H0Q1FW1TJ2RG,SWOT analysis is used to assess:,Business Administration,SWOT analysis.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T10001H0Q1FW1TKZA0,Which is an example of a controllable cost?,Business Administration,Direct labor varies with output.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T10001H0Q1FW1TNRXR,Span of control refers to:,Business Administration,Span of control.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T10001H0Q1FW1TQRD0,Which leadership style encourages participation?,Business Administration,Democratic leadership.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T10001H0Q1FW1TSH1G,KPIs are primarily used to:,Business Administration,KPIs measure results.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T10001H0Q1FW1TVAN8,Maslow’s hierarchy focuses on:,Business Administration,Motivation theory.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T10001H0Q1FW1TXHYG,Cost leadership strategy relies on:,Business Administration,Cost leadership.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T10001H0Q1FW1V109R,A mission statement defines:,Business Administration,Mission purpose.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T10001H0Q1FW1V39HG,Change management aims to:,Business Administration,Managing change.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T10001H0Q1FW1V5FVG,Which function of management involves setting objectives?,Business Administration,Planning defines objectives.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T10001H0Q1FW1V7CD0,SWOT analysis is used to assess:,Business Administration,SWOT analysis.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T10001H0Q1FW1V9700,Which is an example of a controllable cost?,Business Administration,Direct labor varies with output.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T10001H0Q1FW1VBF8G,Span of control refers to:,Business Administration,Span of control.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T20001H0Q1FW1VDFQ0,Which leadership style encourages participation?,Business Administration,Democratic leadership.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T20001H0Q1FW1VF9AR,KPIs are primarily used to:,Business Administration,KPIs measure results.,1,2025-12-20T00:00:00Z,active
01KCXGG0T10001H0Q1FW1TFQJ8,01KCXGG0T20001H0Q1FW1VJNQG,Maslow’s hierarchy focuses on:,Business Administration,Motivation theory.,1,2025-12-20T00:00:00Z,active
